"filename", "language", "Batch", "Julia", "CSV", "HTML", "JavaScript", "CSS", "TypeScript", "comment", "blank", "total"
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\Julia_Flight_Simulator.jl", "Julia", 0, 27, 0, 0, 0, 0, 0, 3, 22, 52
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-28_@_21h-37-46.csv", "CSV", 0, 0, 789, 0, 0, 0, 0, 0, 1, 790
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-29_@_19h-32-43.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-29_@_19h-35-15.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-29_@_19h-39-41.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-29_@_19h-43-45.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-29_@_20h-46-54.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-29_@_20h-56-39.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-29_@_21h-01-20.csv", "CSV", 0, 0, 801, 0, 0, 0, 0, 0, 1, 802
"f:\UEM\DEV\JS\Flight_Simulator\▶OpenFlight_Git_folder\OUTPUT_OF_SIMULATION_DATA\simulation_data_2024-12-29_@_21h-06-24.csv", "CSV", 0, 0, 842, 0, 0, 0, 0, 0, 1, 843
