time,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,fx_global,fy_global,fz_global,alpha,beta
6.012,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.253,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.253,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.253,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.253,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.253,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.253,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.254,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.254,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.254,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.254,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.254,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.254,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.254,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.255,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.255,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.255,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.255,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.255,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.255,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.256,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.256,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.256,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.256,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.256,7.74805,129.54333,7.0e-5,11.73872,-1.5397,0.00048,-6.0e-5,8.0e-5,-0.02274,0.99974,-0.00037,0.00049,-0.33876,-38.35929,20.19956,0.00613,4.84951,-0.01052
6.266,7.8648,129.52778,8.0e-5,11.61195,-1.57088,0.0005,-6.0e-5,8.0e-5,-0.02446,0.9997,-0.00037,0.00049,-0.34861,-38.0323,20.0673,0.00624,4.8841,-0.01088
6.266,7.8648,129.52778,8.0e-5,11.61195,-1.57088,0.0005,-6.0e-5,8.0e-5,-0.02446,0.9997,-0.00037,0.00049,-0.34861,-38.0323,20.0673,0.00624,4.8841,-0.01088
6.279,7.98029,129.51191,8.0e-5,11.48625,-1.60247,0.00052,-6.0e-5,8.0e-5,-0.02622,0.99966,-0.00038,0.00049,-0.35837,-37.71007,19.9416,0.00634,4.91921,-0.01124
6.279,7.98029,129.51191,8.0e-5,11.48625,-1.60247,0.00052,-6.0e-5,8.0e-5,-0.02622,0.99966,-0.00038,0.00049,-0.35837,-37.71007,19.9416,0.00634,4.91921,-0.01124
6.295,8.09453,129.49573,9.0e-5,11.36161,-1.63447,0.00054,-6.0e-5,9.0e-5,-0.02804,0.99961,-0.00038,0.00049,-0.36804,-37.39248,19.82254,0.00645,4.95491,-0.0116
6.312,8.20753,129.47922,9.0e-5,11.23801,-1.66683,0.00057,-7.0e-5,9.0e-5,-0.0299,0.99955,-0.00038,0.0005,-0.37762,-37.07937,19.71017,0.00655,4.99126,-0.01196
6.312,8.20753,129.47922,9.0e-5,11.23801,-1.66683,0.00057,-7.0e-5,9.0e-5,-0.0299,0.99955,-0.00038,0.0005,-0.37762,-37.07937,19.71017,0.00655,4.99126,-0.01196
6.328,8.31929,129.46239,0.0001,11.11544,-1.69955,0.00059,-7.0e-5,9.0e-5,-0.03181,0.99949,-0.00039,0.0005,-0.3871,-36.77062,19.60452,0.00664,5.02834,-0.01233
6.328,8.31929,129.46239,0.0001,11.11544,-1.69955,0.00059,-7.0e-5,9.0e-5,-0.03181,0.99949,-0.00039,0.0005,-0.3871,-36.77062,19.60452,0.00664,5.02834,-0.01233
6.345,8.42984,129.44523,0.00011,10.99389,-1.7326,0.00061,-7.0e-5,9.0e-5,-0.03377,0.99943,-0.00039,0.0005,-0.39651,-36.46608,19.5056,0.00674,5.0662,-0.0127
6.362,8.53918,129.42774,0.00011,10.87333,-1.76595,0.00063,-7.0e-5,0.0001,-0.03578,0.99936,-0.00039,0.0005,-0.40582,-36.16564,19.41338,0.00683,5.10489,-0.01308
6.362,8.53918,129.42774,0.00011,10.87333,-1.76595,0.00063,-7.0e-5,0.0001,-0.03578,0.99936,-0.00039,0.0005,-0.40582,-36.16564,19.41338,0.00683,5.10489,-0.01308
6.379,8.64731,129.40991,0.00012,10.75377,-1.79959,0.00066,-7.0e-5,0.0001,-0.03783,0.99928,-0.0004,0.0005,-0.41506,-35.86915,19.32782,0.00691,5.14448,-0.01345
