time,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,fx_global,fy_global,fz_global,alpha,beta
6.013,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.272,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.272,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.272,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.272,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.272,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.272,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.273,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.273,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.273,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.273,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.273,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.273,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.274,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.274,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.274,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.274,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
6.274,12.25408,129.77012,-0.0,26.30956,-0.28437,9.0e-5,-0.0001,0.00012,0.00935,0.99996,-0.00074,0.00077,0.03017,23.50043,32.01384,0.00409,1.69316,-0.01393
