time,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,fx_global,fy_global,fz_global,alpha,beta
6.003,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.257,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.257,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.258,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.258,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.258,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.258,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.258,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.259,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.259,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.259,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.259,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.259,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.259,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.26,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.26,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.26,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.26,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.26,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.26,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.26,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.26,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.26,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.261,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.261,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.261,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.261,12.51756,129.76732,-0.0,26.38654,-0.27534,0.0001,-0.0001,0.00013,0.00951,0.99995,-0.00075,0.00077,0.03299,23.09492,32.1294,0.00438,1.68938,-0.01439
6.27,12.78181,129.76462,-0.0,26.46219,-0.26587,0.00012,-0.00011,0.00013,0.00968,0.99995,-0.00077,0.00077,0.03587,22.69472,32.25866,0.00467,1.68649,-0.01486
6.27,12.78181,129.76462,-0.0,26.46219,-0.26587,0.00012,-0.00011,0.00013,0.00968,0.99995,-0.00077,0.00077,0.03587,22.69472,32.25866,0.00467,1.68649,-0.01486
6.286,13.0468,129.76201,0.0,26.53652,-0.25594,0.00013,-0.00011,0.00014,0.00987,0.99995,-0.00078,0.00077,0.03878,22.29971,32.40071,0.00497,1.68442,-0.01532
6.302,13.31253,129.7595,0.0,26.60955,-0.24549,0.00015,-0.00011,0.00014,0.01007,0.99995,-0.00079,0.00077,0.04172,21.90978,32.5546,0.00526,1.68311,-0.01579
6.302,13.31253,129.7595,0.0,26.60955,-0.24549,0.00015,-0.00011,0.00014,0.01007,0.99995,-0.00079,0.00077,0.04172,21.90978,32.5546,0.00526,1.68311,-0.01579
6.319,13.57899,129.7571,0.0,26.6813,-0.23449,0.00017,-0.00012,0.00014,0.01029,0.99995,-0.0008,0.00077,0.04467,21.52485,32.71936,0.00556,1.6825,-0.01626
6.336,13.84616,129.75481,1.0e-5,26.75179,-0.22291,0.00019,-0.00012,0.00015,0.01052,0.99994,-0.00082,0.00077,0.04762,21.1448,32.89397,0.00587,1.68251,-0.01674
6.336,13.84616,129.75481,1.0e-5,26.75179,-0.22291,0.00019,-0.00012,0.00015,0.01052,0.99994,-0.00082,0.00077,0.04762,21.1448,32.89397,0.00587,1.68251,-0.01674
6.352,14.11402,129.75264,1.0e-5,26.82102,-0.21072,0.00021,-0.00013,0.00015,0.01076,0.99994,-0.00083,0.00076,0.05056,20.76953,33.07743,0.00617,1.6831,-0.01721
6.352,14.11402,129.75264,1.0e-5,26.82102,-0.21072,0.00021,-0.00013,0.00015,0.01076,0.99994,-0.00083,0.00076,0.05056,20.76953,33.07743,0.00617,1.6831,-0.01721
