time,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,fx_global,fy_global,fz_global,alpha,beta
6.011,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.263,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.263,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.263,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.264,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.264,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.264,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.264,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.264,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.264,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.265,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.265,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.265,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.265,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.265,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.265,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
6.265,9.66428,129.80255,-1.0e-5,25.46228,-0.36214,-1.0e-5,-6.0e-5,9.0e-5,0.00845,0.99996,-0.00061,0.00072,0.00841,27.87186,31.74122,0.00152,1.79137,-0.00952
