time,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,fx_global,fy_global,fz_global,alpha,beta
6.005,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.248,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.248,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.248,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.249,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.249,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.249,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.249,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.249,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.249,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.249,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.25,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.25,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.25,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.25,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
6.25,12.77671,129.89024,-0.00573,26.418,0.44675,-0.04179,-0.01109,0.00346,0.02611,0.99959,-0.08079,0.02168,0.11722,21.91269,39.30662,-0.66481,2.02755,-0.29081
