time,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,fx_global,fy_global,fz_global,alpha,beta,pitch_demand,roll_demand,yaw_demand,pitch_demand_attained,roll_demand_attained,yaw_demand_attained
6.014,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.27,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.27,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.271,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.271,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.271,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.271,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.271,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.271,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.271,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.271,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.271,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.271,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.272,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.272,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.272,22.69929,129.82706,0.00214,28.4091,0.64371,0.01269,-0.00273,0.00247,0.02701,0.99963,-0.01136,0.00476,0.12259,11.10582,39.74797,0.13737,1.79651,-0.30464,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.281,23.17328,129.83827,0.00236,28.46844,0.70241,0.01346,-0.00282,0.00251,0.02804,0.9996,-0.01149,0.00452,0.12464,10.68131,39.98561,0.13991,1.79939,-0.31097,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.297,23.64823,129.85048,0.00259,28.52547,0.76237,0.01425,-0.00291,0.00255,0.02908,0.99957,-0.01163,0.00427,0.12658,10.26596,40.21186,0.14216,1.80202,-0.31712,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.314,24.12411,129.86369,0.00284,28.58024,0.82352,0.01505,-0.00301,0.00258,0.03015,0.99954,-0.01176,0.00401,0.12844,9.85965,40.4272,0.14411,1.80441,-0.32308,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.33,24.60089,129.87793,0.0031,28.63281,0.88581,0.01586,-0.00311,0.00262,0.03122,0.9995,-0.01188,0.00376,0.13022,9.46224,40.63215,0.14574,1.80659,-0.32884,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.347,25.07853,129.89322,0.00337,28.68322,0.94918,0.01668,-0.0032,0.00265,0.03231,0.99947,-0.01201,0.0035,0.13192,9.07358,40.82723,0.14704,1.80857,-0.3344,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.364,25.55699,129.90958,0.00365,28.73152,1.01359,0.0175,-0.0033,0.00268,0.03342,0.99943,-0.01213,0.00323,0.13355,8.69354,41.01297,0.14799,1.81039,-0.33975,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.38,26.03623,129.92702,0.00395,28.77775,1.07898,0.01833,-0.0034,0.0027,0.03454,0.99939,-0.01225,0.00297,0.13511,8.32197,41.1899,0.14859,1.81205,-0.34489,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.397,26.51623,129.94555,0.00426,28.82197,1.1453,0.01915,-0.0035,0.00273,0.03567,0.99935,-0.01236,0.00271,0.13661,7.95871,41.3585,0.14881,1.81357,-0.3498,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.414,26.99695,129.9652,0.00459,28.86421,1.21252,0.01998,-0.0036,0.00275,0.03681,0.99931,-0.01248,0.00244,0.13806,7.60361,41.51926,0.14864,1.81498,-0.3545,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.431,27.47836,129.98597,0.00493,28.90452,1.28059,0.0208,-0.00371,0.00277,0.03797,0.99927,-0.01259,0.00218,0.13945,7.2565,41.67262,0.14808,1.81629,-0.35897,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.447,27.96043,130.00789,0.00528,28.94295,1.34947,0.02162,-0.00381,0.00278,0.03914,0.99922,-0.01269,0.00192,0.14079,6.91724,41.81898,0.14712,1.81751,-0.36321,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.464,28.44312,130.03096,0.00565,28.97954,1.41913,0.02243,-0.00391,0.0028,0.04032,0.99918,-0.0128,0.00166,0.14208,6.58565,41.95873,0.14575,1.81866,-0.36721,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.48,28.9264,130.0552,0.00603,29.01433,1.48954,0.02323,-0.00402,0.00281,0.0415,0.99913,-0.0129,0.0014,0.14333,6.26158,42.09222,0.14396,1.81974,-0.37099,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.497,29.41025,130.08061,0.00642,29.04735,1.56065,0.02402,-0.00412,0.00282,0.0427,0.99908,-0.013,0.00115,0.14454,5.94487,42.21975,0.14174,1.82076,-0.37453,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.514,29.89464,130.10722,0.00683,29.07866,1.63243,0.02479,-0.00423,0.00283,0.04391,0.99902,-0.01309,0.00089,0.1457,5.63535,42.34162,0.13909,1.82174,-0.37783,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.531,30.37953,130.13503,0.00725,29.10829,1.70487,0.02555,-0.00433,0.00284,0.04513,0.99897,-0.01319,0.00065,0.14682,5.33288,42.45807,0.13601,1.82268,-0.38089,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.547,30.86491,130.16405,0.00768,29.13627,1.77792,0.02628,-0.00444,0.00284,0.04636,0.99891,-0.01328,0.0004,0.1479,5.03728,42.56935,0.13248,1.82358,-0.38371,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.564,31.35073,130.1943,0.00813,29.16265,1.85156,0.027,-0.00455,0.00285,0.04759,0.99885,-0.01336,0.00016,0.14894,4.74841,42.67565,0.12852,1.82445,-0.3863,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.58,31.83699,130.22578,0.00858,29.18746,1.92577,0.02768,-0.00465,0.00285,0.04884,0.99879,-0.01345,-7.0e-5,0.14994,4.46611,42.77716,0.12411,1.82529,-0.38864,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.597,32.32364,130.25849,0.00905,29.21074,2.00051,0.02835,-0.00476,0.00285,0.05009,0.99873,-0.01353,-0.0003,0.15091,4.19023,42.87406,0.11926,1.82611,-0.39075,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.613,32.81067,130.29246,0.00953,29.23252,2.07577,0.02898,-0.00487,0.00284,0.05135,0.99866,-0.01362,-0.00052,0.15185,3.92063,42.9665,0.11397,1.8269,-0.39262,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.63,33.29805,130.32769,0.01001,29.25284,2.15152,0.02958,-0.00498,0.00284,0.05262,0.9986,-0.01369,-0.00074,0.15275,3.65716,43.05462,0.10824,1.82767,-0.39426,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.647,33.78576,130.36418,0.01051,29.27173,2.22774,0.03015,-0.00509,0.00283,0.05389,0.99853,-0.01377,-0.00095,0.15361,3.39968,43.13854,0.10207,1.82842,-0.39566,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.664,34.27376,130.40195,0.01102,29.28922,2.30439,0.03068,-0.0052,0.00282,0.05517,0.99846,-0.01385,-0.00115,0.15445,3.14805,43.2184,0.09547,1.82915,-0.39683,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.68,34.76205,130.441,0.01153,29.30534,2.38147,0.03117,-0.00531,0.00281,0.05646,0.99839,-0.01392,-0.00134,0.15525,2.90213,43.29431,0.08843,1.82986,-0.39778,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.697,35.2506,130.48133,0.01206,29.32013,2.45895,0.03162,-0.00543,0.0028,0.05776,0.99831,-0.01399,-0.00153,0.15602,2.66178,43.36638,0.08097,1.83054,-0.39849,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.714,35.73939,130.52297,0.01259,29.33361,2.53681,0.03203,-0.00554,0.00279,0.05906,0.99824,-0.01406,-0.00171,0.15676,2.42689,43.43471,0.07309,1.83121,-0.39898,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
6.731,36.22838,130.5659,0.01312,29.34582,2.61503,0.03239,-0.00565,0.00277,0.06037,0.99816,-0.01412,-0.00188,0.15747,2.19732,43.4994,0.06479,1.83186,-0.39925,0.00098,-0.00098,0.00392,0.00098,-0.00098,0.00392
