time,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,fx_global,fy_global,fz_global,alpha,beta,pitch_demand,roll_demand,yaw_demand,pitch_demand_attained,roll_demand_attained,yaw_demand_attained,thrust_setting_demand,thrust_attained
6.009,0.0,130.0,0.0,12.61487,-1.42679,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.05847,-12.78463,27.93521,0.0,0.11136,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.025,0.0,130.0,0.0,12.54499,-1.43501,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.08648,-12.57802,27.94192,0.0,0.11263,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.042,0.0,130.0,0.0,12.47624,-1.44318,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.11461,-12.37512,27.94867,0.0,0.11389,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.059,0.0,130.0,0.0,12.4086,-1.45132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.14285,-12.17586,27.95546,0.0,0.11516,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.075,0.0,130.0,0.0,12.34204,-1.45941,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.17121,-11.98012,27.96229,0.0,0.11643,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.092,0.0,130.0,0.0,12.27655,-1.46747,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.19968,-11.78784,27.96916,0.0,0.1177,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.109,0.0,130.0,0.0,12.21211,-1.47549,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.22825,-11.59892,27.97609,0.0,0.11897,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.125,0.0,130.0,0.0,12.14871,-1.48348,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.25693,-11.41328,27.98307,0.0,0.12024,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.142,0.0,130.0,0.0,12.08631,-1.49142,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.28571,-11.23085,27.99011,0.0,0.12151,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.159,0.0,130.0,0.0,12.02491,-1.49933,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.31459,-11.05154,27.99721,0.0,0.12278,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.175,0.0,130.0,0.0,11.9645,-1.50719,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.34358,-10.87529,28.00437,0.0,0.12404,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.192,0.0,130.0,0.0,11.90504,-1.51501,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.37266,-10.70203,28.01159,0.0,0.12531,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.209,0.0,130.0,0.0,11.84653,-1.5228,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.40183,-10.53168,28.01888,0.0,0.12658,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.225,0.0,130.0,0.0,11.78895,-1.53054,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.4311,-10.36418,28.02623,0.0,0.12784,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.242,0.0,130.0,0.0,11.73229,-1.53824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.46046,-10.19947,28.03365,0.0,0.12911,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.259,0.0,130.0,0.0,11.67652,-1.5459,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.48992,-10.03748,28.04114,0.0,0.13037,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.275,0.0,130.0,0.0,11.62165,-1.55352,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.51946,-9.87815,28.0487,0.0,0.13163,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.292,0.0,130.0,0.0,11.56764,-1.5611,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.54909,-9.72143,28.05632,0.0,0.13289,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.309,0.0,130.0,0.0,11.51449,-1.56863,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.5788,-9.56726,28.06401,0.0,0.13414,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.325,0.0,130.0,0.0,11.46218,-1.57612,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.6086,-9.41558,28.07176,0.0,0.1354,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.342,0.0,130.0,0.0,11.4107,-1.58357,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.63849,-9.26635,28.07959,0.0,0.13665,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.359,0.0,130.0,0.0,11.36003,-1.59097,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.66845,-9.1195,28.08748,0.0,0.1379,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.375,0.0,130.0,0.0,11.31017,-1.59833,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.6985,-8.975,28.09543,0.0,0.13914,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.392,0.0,130.0,0.0,11.2611,-1.60564,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.72862,-8.83278,28.10346,0.0,0.14039,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.409,0.0,130.0,0.0,11.21281,-1.61291,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.75882,-8.69282,28.11154,0.0,0.14163,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.425,0.0,130.0,0.0,11.16528,-1.62013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.78909,-8.55505,28.11969,0.0,0.14287,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.442,0.0,130.0,0.0,11.11851,-1.62731,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.81944,-8.41944,28.12791,0.0,0.1441,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.459,0.0,130.0,0.0,11.07247,-1.63444,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.84987,-8.28595,28.13618,0.0,0.14533,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.475,0.0,130.0,0.0,11.02717,-1.64153,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.88036,-8.15453,28.14452,0.0,0.14655,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.492,0.0,130.0,0.0,10.98259,-1.64857,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.91093,-8.02514,28.15292,0.0,0.14778,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.509,0.0,130.0,0.0,10.93871,-1.65556,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.94156,-7.89774,28.16137,0.0,0.14899,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.525,0.0,130.0,0.0,10.89553,-1.6625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.97227,-7.7723,28.16989,0.0,0.15021,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.542,0.0,130.0,0.0,10.85304,-1.6694,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.00304,-7.64878,28.17846,0.0,0.15142,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.559,0.0,130.0,0.0,10.81122,-1.67625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.03388,-7.52715,28.18708,0.0,0.15262,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.575,0.0,130.0,0.0,10.77007,-1.68305,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.06478,-7.40736,28.19576,0.0,0.15382,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.592,0.0,130.0,0.0,10.72957,-1.6898,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.09574,-7.28939,28.2045,0.0,0.15502,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.609,0.0,130.0,0.0,10.68972,-1.69651,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.12677,-7.1732,28.21328,0.0,0.15621,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.625,0.0,130.0,0.0,10.6505,-1.70316,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.15786,-7.05877,28.22211,0.0,0.15739,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.642,0.0,130.0,0.0,10.61192,-1.70977,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.18901,-6.94605,28.23099,0.0,0.15857,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.659,0.0,130.0,0.0,10.57394,-1.71632,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.22022,-6.83502,28.23992,0.0,0.15974,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.676,0.0,130.0,0.0,10.53658,-1.72283,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.25149,-6.72566,28.24889,0.0,0.16091,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.692,0.0,130.0,0.0,10.49981,-1.72929,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.28282,-6.61792,28.2579,0.0,0.16208,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.709,0.0,130.0,0.0,10.46364,-1.73569,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.3142,-6.5118,28.26696,0.0,0.16323,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.725,0.0,130.0,0.0,10.42804,-1.74205,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.34564,-6.40724,28.27605,0.0,0.16438,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.742,0.0,130.0,0.0,10.39302,-1.74835,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.37713,-6.30425,28.28519,0.0,0.16553,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.759,0.0,130.0,0.0,10.35856,-1.7546,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.40868,-6.20277,28.29436,0.0,0.16666,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.776,0.0,130.0,0.0,10.32465,-1.76081,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.44028,-6.1028,28.30356,0.0,0.16779,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.792,0.0,130.0,0.0,10.29129,-1.76696,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.47193,-6.0043,28.3128,0.0,0.16892,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.809,0.0,130.0,0.0,10.25848,-1.77306,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.50363,-5.90726,28.32207,0.0,0.17004,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.825,0.0,130.0,0.0,10.22619,-1.7791,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.53538,-5.81165,28.33137,0.0,0.17115,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.841,0.0,130.0,0.0,10.19443,-1.7851,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.56718,-5.71745,28.34069,0.0,0.17225,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.859,0.0,130.0,0.0,10.16318,-1.79104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.59903,-5.62463,28.35004,0.0,0.17335,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.875,0.0,130.0,0.0,10.13244,-1.79694,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.63093,-5.53317,28.35942,0.0,0.17444,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.892,0.0,130.0,0.0,10.1022,-1.80278,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.66287,-5.44306,28.36881,0.0,0.17552,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.909,0.0,130.0,0.0,10.07245,-1.80856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.69486,-5.35428,28.37823,0.0,0.17659,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.925,0.0,130.0,0.0,10.04319,-1.8143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.72689,-5.26679,28.38766,0.0,0.17766,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.942,0.0,130.0,0.0,10.01441,-1.81998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.75897,-5.18059,28.39711,0.0,0.17872,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.959,0.0,130.0,0.0,9.9861,-1.82561,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.79109,-5.09566,28.40658,0.0,0.17977,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.975,0.0,130.0,0.0,9.95826,-1.83119,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.82325,-5.01197,28.41606,0.0,0.18082,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.992,0.0,130.0,0.0,9.93087,-1.83671,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.85545,-4.92951,28.42555,0.0,0.18185,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.008,0.0,130.0,0.0,9.90394,-1.84218,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.8877,-4.84826,28.43504,0.0,0.18288,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.025,0.0,130.0,0.0,9.87745,-1.8476,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.91998,-4.7682,28.44455,0.0,0.1839,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.042,0.0,130.0,0.0,9.8514,-1.85297,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.9523,-4.68932,28.45405,0.0,0.18492,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.059,0.0,130.0,0.0,9.82578,-1.85828,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.98467,-4.61159,28.46356,0.0,0.18592,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
