time,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,fx_global,fy_global,fz_global,alpha_DEG,beta_DEG,pitch_demand,roll_demand,yaw_demand,pitch_demand_attained,roll_demand_attained,yaw_demand_attained,thrust_setting_demand,thrust_attained
6.002,39.1739,427.80403,-0.0,40.10205,-3.15865,-0.0,-0.0,0.0,-0.00259,1.0,-0.0,0.0,-0.02404,1314.8928,5349.33218,-0.00199,4.21165,-1.0e-5,-2.0e-5,-2.0e-5,2.0e-5,-2.0e-5,-2.0e-5,2.0e-5,0.50001,0.455
6.019,39.84259,427.75126,-0.0,40.14041,-3.17343,-0.0,-0.0,0.0,-0.00279,1.0,-0.0,0.0,-0.02481,1381.00401,5351.92372,-0.00221,4.20644,-1.0e-5,-2.0e-5,-2.0e-5,2.0e-5,-2.0e-5,-2.0e-5,2.0e-5,0.50001,0.47667
6.036,40.51193,427.69825,-0.0,40.18061,-3.18817,-0.0,-0.0,0.0,-0.003,1.0,-0.0,0.0,-0.02557,1446.99906,5353.55752,-0.00244,4.20016,-1.0e-5,-2.0e-5,-2.0e-5,2.0e-5,-2.0e-5,-2.0e-5,2.0e-5,0.50001,0.49833
6.052,41.18194,427.64499,-0.0,40.22096,-3.20287,-0.0,-0.0,0.0,-0.00321,1.0,-0.0,0.0,-0.02633,1452.90666,5354.63143,-0.00267,4.19285,-1.0e-5,-2.0e-5,-2.0e-5,2.0e-5,-2.0e-5,-2.0e-5,2.0e-5,0.50001,0.50001
6.068,41.85263,427.59149,-0.0,40.26135,-3.21758,-0.0,-0.0,0.0,-0.00343,0.99999,-0.0,0.0,-0.02708,1453.71809,5354.68479,-0.0029,4.18471,-1.0e-5,-2.0e-5,-2.0e-5,2.0e-5,-2.0e-5,-2.0e-5,2.0e-5,0.50001,0.50001
6.085,42.52399,427.53774,-0.0,40.30175,-3.2323,-0.0,-0.0,0.0,-0.00366,0.99999,-0.0,0.0,-0.02783,1454.46478,5353.72133,-0.00315,4.17582,-1.0e-5,-2.0e-5,-2.0e-5,2.0e-5,-2.0e-5,-2.0e-5,2.0e-5,0.50001,0.50001
6.102,43.19602,427.48374,-0.0,40.34217,-3.24709,-0.0,-0.0,0.0,-0.00389,0.99999,-0.0,0.0,-0.02858,1455.15245,5351.79045,-0.00341,4.1662,-1.0e-5,-2.0e-5,-2.0e-5,2.0e-5,-2.0e-5,-2.0e-5,2.0e-5,0.50001,0.50001
6.119,43.86873,427.4295,-0.0,40.38261,-3.26195,-0.0,-0.0,0.0,-0.00413,0.99999,-0.0,0.0,-0.02933,1455.78652,5348.93968,-0.00367,4.15591,-2.0e-5,-2.0e-5,-2.0e-5,2.0e-5,-2.0e-5,-2.0e-5,2.0e-5,0.50001,0.50001
6.135,44.54211,427.37501,-0.0,40.42306,-3.27692,-0.0,-0.0,0.0,-0.00437,0.99999,-0.0,0.0,-0.03007,1456.3722,5345.21469,-0.00395,4.14498,-2.0e-5,-2.0e-5,-2.0e-5,2.0e-5,-2.0e-5,-2.0e-5,2.0e-5,0.50001,0.50001
6.152,45.21616,427.32027,-0.0,40.46353,-3.29201,-0.0,-0.0,0.0,-0.00462,0.99999,-0.0,0.0,-0.0308,1456.9144,5340.65937,-0.00423,4.13345,-2.0e-5,-2.0e-5,-2.0e-5,2.0e-5,-2.0e-5,-2.0e-5,2.0e-5,0.50001,0.50001
